weight,value
18,42
45,96
9,35
44,40
12,92
15,50
41,44
36,25
10,82
24,21
15,56
41,49
41,73
6,59
45,11
22,77
37,63
8,53
16,70
10,83
21,83
3,34
36,52
12,40
33,50
38,34
46,30
23,26
24,81
5,69
22,47
17,36
43,58
44,70
3,60
1,38
1,37
15,74
33,49
45,21
16,67
21,60
26,69
8,65
47,69
30,43
24,89
13,60
36,30
11,94
36,54
17,78
20,73
15,44
10,21
9,67
29,47
31,82
30,40
40,30
38,91
12,15
5,54
6,32
20,18
24,29
37,44
1,90
37,68
15,29
42,22
26,89
41,38
9,75
48,34
15,39
40,66
23,62
40,70
27,16
40,42
13,42
20,22
10,57
13,73
27,96
16,43
31,75
1,63
23,73
31,33
5,34
20,70
44,100
36,85
4,74
22,69
16,78
13,97
10,78
24,47
40,70
22,90
47,28
47,16
11,20
31,82
47,53
40,23
18,59
4,70
34,34
15,92
20,63
30,76
30,75
22,73
4,68
18,84
2,87
4,91
43,40
18,27
19,30
33,92
46,70
50,94
30,30
27,13
25,68
9,80
18,86
49,98
32,15
5,75
32,74
44,36
36,24
17,24
38,24
10,68
20,33
18,86
5,41
21,48
34,90
4,17
11,75
40,59
43,44
10,54
9,70
13,62
25,70
24,33
9,37
6,84
48,62
38,95
2,33
28,69
45,19
9,89
36,21
8,63
30,17
31,99
15,15
20,20
17,29
6,39
15,67
48,71
48,10
23,23
34,14
8,59
24,29
37,45
14,28
20,73
20,24
46,92
34,81
47,53
32,16
5,85
19,97
23,55
22,64
46,46
18,73
8,16
9,70
33,62
47,78
25,82
13,76
48,55
36,77
26,84
46,77
42,60
47,44
33,66
4,68
34,99
9,94
35,42
28,50
15,30
20,94
50,74
30,14
24,86
32,28
26,62
39,25
13,77
23,52
45,91
25,31
43,79
7,63
11,68
6,68
40,80
39,57
1,28
49,44
17,24
21,22
36,19
17,87
47,88
42,92
48,45
42,35
50,98
15,19
39,63
15,24
4,73
18,66
50,82
36,38
32,27
50,10
35,92
12,86
38,64
2,99
35,67
28,15
6,55
15,73
30,47
3,83
41,72
32,94
29,36
18,89
4,22
13,50
33,90
47,74
11,69
25,21
10,30
16,97
39,54
7,79
11,21
28,46
10,68
1,64
14,31
19,54
27,52
18,23
50,56
42,93
27,52
35,90
28,35
42,58
36,78
17,60
34,84
36,55
15,66
18,63
36,87
9,33
19,54
17,63
7,84
8,64
39,84
7,21
46,72
38,15
19,71
49,29
50,62
21,100
4,54
25,13
16,97
33,13
41,14
16,19
34,65
36,74
48,83
36,90
19,21
28,80
11,43
27,58
3,58
45,95
21,71
39,30
50,94
7,54
23,51
17,37
15,65
38,83
43,30
31,98
49,79
8,31
8,92
25,87
27,19
13,96
4,38
36,73
40,70
50,19
38,73
37,32
30,87
46,23
9,69
20,99
6,98
26,34
17,19
14,87
18,58
50,39
18,18
24,53
41,15
7,61
26,20
13,37
31,42
28,18
34,11
41,25
16,79
18,75
8,92
44,27
44,25
24,35
5,38
2,23
23,36
12,58
13,77
3,34
15,19
19,98
25,39
20,77
28,39
2,100
49,57
34,78
24,47
26,74
27,21
35,92
25,36
23,98
40,73
7,69
38,60
38,65
37,65
43,59
5,60
34,76
10,100
7,73
34,35
16,63
46,84
39,24
38,78
3,61
29,62
34,56
31,69
38,11
23,85
30,71
6,84
33,93
17,89
29,58
44,14
12,44
6,71
11,58
33,19
13,57
36,18
30,50
1,68
5,65
19,72
26,53
28,82
16,96
39,91
2,45
48,85
18,30
37,46
15,75
15,93
27,76
2,16
15,62
39,11
16,86
2,67
3,12
39,28
44,50
29,40
2,72
34,63
39,23
46,83
19,56
13,83
29,76
17,80
26,31
15,100
30,86
4,74
43,87
14,66
11,35
26,32
32,26
20,88
35,37
41,53
47,22
8,94
47,42
20,50
14,43
16,63
25,95
6,25
11,82
8,22
9,96
5,67
44,59
30,75
26,48
35,57
35,11
17,30
40,23
13,12
46,44
13,22
23,57
42,43
27,10
42,78
8,21
44,62
23,16
5,12
46,69
39,57
8,68
12,28
39,27
40,26
16,13
11,92
48,19
31,38
12,91
28,76
36,98
8,58
43,23
12,57
2,86
31,92
7,44
17,16
47,57
7,60
29,38
28,96
49,65
24,50
23,14
6,66
16,28
43,31
6,55
22,80
45,53
43,11
48,88
44,54
31,77
4,39
48,26
42,86
30,64
18,79
50,17
10,57
1,92
31,61
42,76
13,81
40,71
11,19
40,82
19,21
19,83
37,58
3,39
38,79
22,63
44,47
43,28
8,40
34,56
20,16
17,33
10,89
31,48
38,90
47,61
33,70
36,95
48,33
45,64
17,16
19,31
4,25
45,83
19,68
31,51
49,93
35,20
50,55
13,18
27,90
40,41
50,29
19,47
20,72
18,37
46,24
20,69
47,17
42,67
48,35
1,100
33,74
15,53
2,73
18,68
13,69
3,27
2,46
24,63
37,76
37,26
37,89
49,35
23,81
10,77
16,61
15,20
32,77
32,54
8,42
32,48
13,27
39,100
26,91
14,23
36,64
23,77
9,32
17,100
37,53
28,59
5,46
17,72
15,23
38,59
10,84
25,86
20,96
12,23
6,44
48,62
7,28
14,71
5,80
16,40
18,60
46,41
43,92
44,82
22,40
37,46
38,95
41,70
44,87
11,21
31,78
12,82
14,53
38,85
31,31
20,59
12,26
30,11
32,56
7,75
40,38
47,67
37,64
41,61
6,80
6,50
26,84
47,99
40,99
1,90
34,57
1,90
42,74
23,81
37,38
12,27
7,19
40,18
8,28
11,10
36,30
15,75
24,29
42,100
9,53
28,36
42,72
11,70
30,77
34,21
1,85
42,20
44,60
43,76
35,53
15,25
31,65
45,68
34,93
11,82
27,23
19,94
3,85
28,18
44,52
48,67
34,56
14,46
39,15
3,38
41,82
36,44
11,22
22,75
45,98
26,21
14,61
40,78
24,72
50,39
6,56
11,66
41,18
40,12
33,25
44,26
8,13
19,26
21,51
32,50
40,71
30,80
25,15
31,98
35,80
10,91
17,26
9,78
36,39
33,29
17,45
5,38
49,31
50,77
42,98
8,34
6,67
32,41
36,49
3,21
7,57
25,66
31,45
33,72
1,88
21,92
45,74
37,75
38,14
35,99
19,54
5,13
5,24
5,39
12,12
41,42
24,68
22,54
19,48
15,33
41,20
12,70
12,15
10,13
8,82
38,48
30,10
24,15
27,10
42,88
25,85
21,43
42,12
39,90
42,29
11,62
39,19
42,65
41,57
29,100
1,59
38,77
10,58
19,32
6,96
15,69
45,37
46,71
11,68
22,64
26,79
8,69
8,69
26,33
36,61
29,32
45,34
14,90
18,77
26,88
6,66
40,36
24,65
49,72
10,62
12,44
21,21
12,95
32,16
46,73
19,74
4,77
38,38
37,12
23,60
4,55
7,12
48,11
41,85
36,32
43,60
18,80
27,45
39,92
36,31
2,77
28,35
27,89
20,33
49,17
20,20
7,40
45,57
13,11
48,80
42,28
49,57
47,58
41,91
34,78
21,31
11,68
40,96
33,100
40,12
28,40
46,43
41,69
32,40
19,99
42,24
15,21
22,34
37,33
43,99
45,31
16,81
45,90
29,18
26,93
46,90
28,48
33,53
24,32
44,58
17,65
40,56
22,71
32,88
39,23
19,88
38,35
19,66
33,16
11,53
9,28
25,94
20,58
33,21
32,19
18,50
50,77
46,77
32,34
42,66
32,99
26,54
12,57
10,86
12,93
48,17
46,76
34,24
25,79
22,89
18,18
44,27
40,50
5,82
20,60
17,98
35,99
36,19
33,32
47,35
30,83
13,97
16,27
27,58
19,44
42,49
12,65
4,57
46,54
10,50
24,33
10,40
5,87
26,36
42,46
38,99
44,44
35,57
1,37
1,41
2,47
42,47
21,32
37,26
45,98
1,64
40,61
23,62
20,41
12,99
35,52
23,48
41,11
12,94
1,50
31,49
12,93
1,33
10,56
29,73
34,88
2,47
49,10
16,86
9,42
50,11
39,56
44,84
43,60
9,34
50,35
22,52
33,33
9,57
38,45
17,22
24,64
45,34
11,54
39,97
14,11
14,87
34,42
1,43
33,18
21,22
3,17
2,27
4,99
50,71
19,25
1,38
27,70
31,96
42,35
35,92
44,13
36,21
7,78
10,97
48,72
4,87
31,16
7,18
35,99
19,68
6,79
23,84
34,98
23,80
46,39
50,76
1,68
7,57
4,63
19,13
25,84
5,100
3,16
29,45
33,15
13,100
2,76
15,89
35,84
32,41
40,59
33,78
2,40
26,25
35,48
8,78
48,29
14,74
21,41
8,65
43,38
4,67
27,31
21,45
30,65
28,52
7,20
36,98
39,63
36,60
45,18
24,57
23,93
40,51
11,25
15,58
28,34
5,95
41,16
9,36
9,88
22,60
24,92
16,16
31,53
37,68
17,74
30,41
25,23
17,56
46,29
6,72
19,46
21,61
30,92
14,20
49,73
18,94
40,82
23,88
14,62
21,10
50,93
7,68
29,92
40,64
14,84
38,58
50,39
6,56
48,62
9,55
40,77
8,16
21,40
47,74
32,34
48,51
5,13
48,98
47,91
29,76
13,60
41,47
8,65
10,53
23,14
37,88
9,90
24,62
7,93
38,31
20,37
49,22
11,13
28,46
4,37
26,47
45,59
28,17
50,93
43,72
47,71
41,22
12,60
7,57
37,87
29,62
2,32
24,45
42,23
47,83
11,16
3,44
23,100
15,29
26,41
32,20
19,83
15,30
44,25
40,95
40,33
14,54
43,35
2,74
1,51
37,90
26,31
35,77
14,50
41,36
5,60
18,25
2,39
45,45
26,63
49,93
36,87
28,37
41,11
28,98
29,85
33,79
31,72
24,27
7,93
6,68
4,92
41,68
37,18
7,22
4,49
30,87
5,13
27,91
46,18
39,100
38,92
41,96
37,40
27,98
3,82
7,33
26,73
32,33
13,84
7,66
19,67
21,99
18,49
30,17
21,10
4,75
22,91
30,20
33,95
27,22
40,41
26,32
47,61
5,64
38,25
43,80
6,65
43,39
10,96
13,83
20,57
30,25
10,10
24,24
15,80
35,31
6,17
14,14
47,51
36,68
12,32
21,99
45,70
20,91
17,40
8,18
18,62
28,10
14,20
9,44
5,40
33,37
46,34
26,60
29,58
28,92
2,29
14,45
38,88
45,66
36,17
25,62
23,81
2,36
47,41
38,62
26,34
31,11
1,71
28,88
30,53
34,92
33,32
20,39
36,13
10,71
50,97
38,93
42,98
29,23
2,84
6,11
43,87
10,47
5,69
43,32
6,85
40,13
27,66
32,60
7,10
25,74
46,87
50,58
13,53
26,64
44,79
28,16
29,39
7,95
50,58
13,59
19,60
25,19
21,26
47,79
15,57
30,20
26,36
19,25
45,86
36,47
23,34
27,91
9,36
44,40
5,95
3,91
30,35
31,65
14,90
19,70
20,30
19,71
25,48
22,57
3,62
47,25
40,66
25,64
19,20
41,68
3,100
13,97
13,86
42,13
7,98
22,52
37,83
37,84
40,30
28,24
13,96
11,38
15,82
30,54
4,24
48,38
4,97
35,16
47,72
36,36
49,18
29,25
20,63
32,71
25,11
41,82
8,11
15,52
43,28
4,78
5,39
40,42
43,41
11,21
40,90
37,90
8,58
39,68
27,67
39,10
33,31
41,19
37,82
32,46
17,45
2,40
47,93
37,42
28,10
10,10
39,63
47,56
14,27
44,35
21,68
50,32
42,75
11,38
39,24
12,80
42,13
31,48
20,55
19,33
34,47
24,39
46,27
30,54
13,49
31,21
3,57
23,81
25,56
8,43
49,57
40,25
15,13
33,64
25,100
34,41
22,81
36,86
42,63
4,69
8,10
21,41
5,34
14,78
45,38
20,83
32,31
40,48
22,15
46,26
39,54
36,30
50,76
28,15
4,71
47,26
17,45
28,73
41,75
20,33
16,47
3,26
1,23
1,44
4,78
2,95
30,72
24,76
20,15
9,60
14,64
15,77
41,87
10,43
12,12
4,68
23,19
31,57
47,32
43,91
13,55
7,43
26,18
33,39
45,42
34,25
5,24
49,97
26,90
20,39
26,18
16,48
6,99
34,53
49,30
23,12
13,13
12,89
44,16
25,89
18,78
25,69
6,80
42,70
3,35
28,45
49,63
21,83
37,11
40,88
1,59
3,100
11,82
4,34
48,83
37,31
21,79
45,90
40,45
31,24
4,100
44,73
47,14
2,58
38,24
36,69
41,56
4,75
37,30
38,23
24,48
30,10
36,81
15,56
43,13
45,25
48,74
50,100
45,30
44,90
7,17
18,64
40,20
13,65
47,25
5,83
4,16
36,23
34,98
28,65
1,77
24,58
13,35
13,27
41,28
10,32
1,38
6,68
11,72
21,47
25,71
19,73
24,57
10,25
10,24
24,59
27,33
31,96
10,72
49,58
46,94
29,63
48,75
40,20
45,33
47,17
43,55
10,94
27,25
36,53
50,26
4,58
14,88
34,100
19,69
6,32
45,55
31,94
19,69
33,33
24,26
4,31
19,54
3,22
15,65
33,62
10,95
42,75
26,77
17,73
37,53
15,67
38,57
31,39
32,16
2,65
20,60
18,27
2,77
8,32
6,11
29,36
5,43
22,77
27,87
39,34
28,74
2,59
29,84
31,16
5,23
1,13
30,56
27,72
16,12
18,66
24,28
46,66
35,60
5,28
22,30
31,56
42,42
42,11
39,65
27,19
23,29
21,63
10,38
46,85
49,97
3,97
3,22
33,48
32,22
27,88
24,55
1,48
10,67
37,75
43,66
20,67
45,85
12,44
40,60
26,36
40,58
26,87
33,55
10,62
23,42
22,17
19,29
9,96
39,67
37,73
34,10
21,26
47,46
40,21
34,37
21,25
26,96
27,82
15,29
11,25
12,66
24,25
33,89
21,43
14,43
3,84
6,41
38,56
7,11
30,46
18,62
9,12
39,17
8,49
49,67
25,81
6,24
10,60
41,23
2,93
22,87
29,46
6,61
30,10
1,55
36,59
39,53
26,88
27,28
17,80
1,78
49,35
50,12
42,34
20,52
30,14
40,28
10,46
10,99
29,42
18,67
19,30
32,31
42,31
19,94
23,96
20,48
26,80
29,22
35,88
30,87
33,84
27,85
32,40
10,65
40,60
29,56
29,33
28,38
19,65
23,48
31,75
30,45
19,97
49,38
36,52
33,100
50,78
9,31
18,100
14,16
44,72
19,66
8,65
33,77
38,71
45,87
19,60
46,28
41,84
27,92
23,31
50,22
25,14
50,96
28,44
48,42
42,49
29,49
14,83
45,20
13,68
40,72
21,40
44,37
33,96
3,30
4,19
26,93
11,15
33,34
7,89
17,98
9,38
15,58
37,67
28,55
47,48
10,59
33,18
8,70
43,83
33,76
9,14
10,93
48,14
23,64
23,18
28,40
42,47
26,99
16,26
21,56
46,70
45,14
2,98
49,50
31,47
26,11
44,75
11,68
2,60
1,61
8,30
1,40
17,90
21,55
4,42
32,98
25,81
23,66
12,53
45,68
14,67
2,37
49,94
5,16
30,90
12,27
32,20
19,70
29,32
38,97
9,77
13,54
21,76
32,78
14,91
11,29
26,84
12,46
16,46
1,38
48,70
22,96
41,84
4,48
47,28
14,29
19,66
47,81
16,25
22,29
19,20
22,13
35,40
48,78
26,88
2,72
13,80
41,95
19,32
24,33
16,84
33,49
48,81
1,71
22,69
41,69
12,49
39,17
8,87
1,80
15,20
35,80
30,37
38,24
35,100
20,30
15,26
30,68
12,37
1,21
46,68
14,49
36,95
3,48
31,88
27,24
34,90
17,84
25,94
12,33
9,96
25,77
49,46
34,37
23,90
12,62
24,34
43,55
7,61
40,12
10,26
19,100
22,42
15,28
28,38
9,17
5,18
41,41
40,70
33,71
1,80
47,50
50,30
47,78
33,25
42,62
30,75
35,41
31,31
35,26
47,67
28,83
10,64
36,77
14,89
41,40
21,47
5,25
48,13
34,86
37,20
17,86
42,31
21,76
8,87
6,80
33,17
5,10
27,55
12,84
30,70
50,70
28,81
14,62
40,67
30,29
8,100
18,12
4,60
14,26
37,58
35,100
17,13
38,91
40,25
50,89
26,91
2,92
14,28
43,64
42,87
1,18
44,97
30,17
5,86
23,92
33,22
17,56
43,57
36,46
47,54
49,36
32,95
17,72
34,98
9,32
10,68
4,69
6,35
14,44
1,65
10,65
22,12
42,65
36,66
41,73
42,94
6,78
14,99
17,15
16,89
37,95
4,48
21,42
10,68
43,73
45,25
19,99
31,26
18,74
49,27
48,19
6,34
43,27
25,76
5,36
30,45
15,33
36,56
47,67
26,37
22,18
15,98
42,29
46,83
26,41
3,43
44,41
9,31
32,22
42,76
21,77
37,84
4,17
7,66
13,45
17,19
41,13
50,57
15,93
32,12
43,22
8,95
43,52
22,20
33,54
14,60
19,51
20,65
34,69
29,64
48,95
5,60
15,45
15,48
48,53
5,66
37,80
50,73
42,24
17,59
5,47
9,18
39,74
2,72
7,41
10,90
31,92
28,49
10,26
36,31
1,33
4,95
23,77
3,34
34,75
40,21
49,14
37,90
45,36
20,12
2,30
17,31
41,31
16,51
17,90
1,53
12,34
41,89
7,82
11,71
49,93
45,26
38,97
38,56
38,29
42,65
22,68
27,70
17,63
28,30
30,13
14,78
23,99
15,82
6,98
39,41
20,58
47,41
27,30
5,15
4,25
22,17
29,39
21,21
41,27
38,46
38,69
28,84
35,14
5,37
10,34
35,97
30,68
42,18
5,44
40,63
18,31
22,15
26,29
10,59
49,37
9,42
37,98
21,36
49,40
43,21
11,13
5,67
33,50
30,78
41,74
12,61
12,76
30,48
23,86
44,25
17,51
17,37
20,69
13,88
40,28
12,40
7,32
33,14
15,16
4,49
40,51
49,78
31,68
34,43
38,85
41,89
50,84
23,43
49,43
17,90
36,67
28,51
16,94
29,86
4,20
18,24
4,24
22,100
50,29
19,85
35,91
34,77
38,11
9,61
25,75
46,68
46,33
32,69
31,28
9,91
5,44
30,98
48,59
48,85
19,29
10,94
20,60
41,73
25,67
46,75
24,81
15,31
21,41
19,37
2,82
2,47
10,42
43,41
8,29
30,49
12,27
18,37
18,22
6,78
17,38
43,99
37,51
23,91
29,14
10,10
28,85
24,15
6,84
15,78
19,34
40,76
40,42
24,66
1,45
33,31
9,77
47,38
26,32
39,85
23,39
45,85
19,73
26,82
10,91
3,10
40,68
16,68
25,73
36,71
3,26
37,66
39,61
11,49
15,12
7,74
21,40
11,30
7,25
13,42
14,20
31,53
17,76
50,57
46,39
5,80
11,40
9,12
35,33
46,74
9,85
37,63
37,92
8,52
39,33
44,31
50,69
46,47
38,81
13,20
14,87
5,61
23,24
13,99
6,83
6,62
12,60
16,26
28,10
22,47
46,80
23,56
16,38
33,25
10,11
47,53
33,43
29,98
13,94
44,59
31,13
3,99
43,36
4,45
34,31
24,76
18,40
14,73
31,98
2,100
12,10
41,40
29,53
31,39
42,87
9,82
50,35
39,76
15,37
21,64
24,13
37,35
7,41
9,29
27,12
5,90
28,100
39,92
6,36
3,94
15,53
35,20
21,45
39,94
40,64
14,33
6,89
38,85
48,78
40,91
8,42
41,43
21,20
17,63
38,40
3,61
23,78
34,29
46,61
7,68
18,43
39,29
20,19
28,61
21,16
22,42
8,62
29,19
28,95
50,89
20,41
5,61
6,70
35,88
40,92
42,62
43,43
17,16
27,60
40,100
5,65
23,84
17,32
24,87
31,13
10,52
13,36
26,87
5,57
11,73
9,21
15,33
42,74
23,98
15,81
41,34
9,12
18,59
30,92
45,19
4,97
29,49
6,56
48,80
8,51
32,70
15,32
37,14
46,37
36,86
41,64
3,53
21,74
2,70
46,40
13,84
10,80
13,68
3,17
15,92
39,76
41,34
38,95
34,19
49,10
15,89
17,63
7,38
31,42
32,68
4,52
17,98
30,76
1,39
7,57
39,30
10,48
41,89
10,61
28,100
16,66
36,77
25,74
44,74
49,74
11,79
38,31
1,86
5,35
23,31
8,25
9,12
36,41
12,49
2,72
19,64
48,97
17,30
33,16
15,27
30,33
6,54
38,34
1,29
37,88
14,57
47,71
36,25
16,42
20,41
2,59
49,28
18,47
28,75
6,45
23,62
26,48
13,26
35,88
12,90
44,15
16,37
11,11
12,64
24,30
35,83
46,51
42,19
16,15
1,72
34,90
22,98
25,91
34,26
50,30
26,98
31,80
23,28
12,96
37,97
10,92
19,89
19,44
42,25
37,96
4,22
22,25
14,76
30,34
33,26
41,26
21,77
10,35
45,84
38,20
30,71
6,17
4,58
8,45
7,23
23,47
11,34
6,81
31,26
8,83
6,72
28,89
6,18
37,90
34,97
13,70
48,26
48,17
7,13
11,86
41,90
6,82
13,35
47,84
1,32
19,94
27,82
17,22
38,85
18,49
6,74
1,45
32,47
18,73
27,69
5,75
4,78
37,80
41,45
42,100
32,39
38,31
29,31
50,87
10,77
40,15
11,28
45,38
35,23
26,17
24,19
50,92
44,35
21,45
14,82
22,53
49,52
35,24
25,28
16,48
4,46
41,32
7,78
33,90
22,33
45,41
8,68
29,59
10,60
50,89
40,33
20,77
47,15
46,60
19,87
12,63
21,24
27,13
1,75
7,76
34,36
31,74
7,19
20,100
14,10
21,78
8,96
33,84
7,34
28,63
36,92
26,90
4,70
48,56
18,14
9,97
29,29
42,33
1,33
46,96
9,24
45,48
21,59
38,72
43,44
38,94
5,81
50,26
28,63
7,23
3,80
29,49
39,16
12,29
44,23
17,12
49,25
15,79
42,57
4,97
14,30
27,34
44,12
3,41
41,53
37,93
19,21
10,76
35,90
4,43
15,98
19,88
31,89
40,28
18,21
3,63
34,96
48,63
23,12
18,85
2,78
26,84
37,18
46,80
40,88
43,30
22,17
5,88
28,44
12,76
13,57
13,52
27,22
48,19
42,19
32,55
49,52
21,72
4,32
5,92
20,45
46,70
5,71
1,36
34,32
25,13
6,87
26,73
2,87
7,95
22,33
18,47
21,75
40,31
25,23
5,64
11,74
49,38
23,49
3,43
2,100
41,22
26,49
30,52
27,74
49,35
16,77
24,27
17,92
16,35
17,15
24,46
10,96
1,92
5,40
31,21
14,18
12,88
27,78
35,96
5,100
11,92
45,73
50,78
12,34
16,34
11,99
7,35
9,22
1,13
40,66
15,41
37,55
20,94
19,64
13,43
14,94
49,66
18,52
27,53
27,14
1,47
44,30
49,68
18,10
27,46
41,29
18,30
44,22
33,48
36,29
12,92
41,56
10,10
47,85
13,50
21,68
25,62
7,45
35,25
40,76
1,20
7,98
2,27
23,40
22,60
17,45
39,71
20,37
33,61
5,18
45,25
20,80
46,95
22,50
41,70
42,77
27,21
22,68
40,70
50,82
5,56
50,99
45,82
3,45
2,13
45,23
36,24
36,95
8,62
38,86
38,88
48,55
20,18
6,72
17,77
6,44
3,92
11,85
32,57
8,29
44,99
7,79
29,84
43,87
4,89
26,26
10,73
12,75
23,30
44,77
31,30
37,73
41,23
28,23
11,62
18,21
32,31
32,90
15,95
19,96
16,22
7,81
3,85
34,98
27,10
23,92
12,57
17,20
32,15
40,21
2,70
48,21
18,77
4,16
10,100
13,86
19,79
31,78
38,28
26,63
1,51
27,27
34,30
1,19
14,12
34,74
43,94
39,91
26,24
11,100
2,79
28,18
19,14
6,13
10,39
15,39
46,73
42,96
22,68
14,97
33,85
43,17
34,36
49,11
17,62
42,76
48,87
50,96
15,38
49,76
21,46
6,42
31,34
8,64
10,99
26,17
47,36
9,50
14,67
50,100
3,79
19,47
31,67
42,56
13,73
44,59
49,81
31,62
21,86
36,62
39,65
49,77
44,25
41,52
31,87
11,24
46,43
6,77
12,16
29,35
45,93
4,28
9,66
8,34
5,99
40,56
38,57
26,43
17,72
19,21
12,14
7,18
43,68
50,38
42,98
33,38
48,72
34,28
5,84
1,36
21,32
20,20
25,79
19,43
10,11
13,16
24,28
14,89
29,27
31,60
18,72
22,91
27,88
10,96
47,54
4,21
43,18
49,77
7,87
28,39
47,85
4,30
23,60
42,99
4,56
43,38
16,78
33,90
31,94
50,53
21,86
8,72
32,39
24,51
37,97
6,37
15,91
28,44
22,14
22,48
13,40
42,15
9,19
24,73
33,38
49,22
42,66
27,60
13,20
3,13
42,69
24,15
41,24
42,91
17,75
33,34
26,58
39,63
48,65
19,68
42,55
6,99
9,90
10,96
28,16
39,45
43,73
18,95
11,23
7,33
26,31
24,55
30,80
47,27
12,84
43,92
48,22
14,97
48,76
14,13
1,39
29,76
33,92
14,56
16,40
27,64
13,77
34,54
45,53
6,34
22,15
29,70
20,38
2,21
39,56
14,28
38,63
13,34
18,49
36,40
27,25
7,21
13,98
26,65
6,20
47,51
7,57
8,17
48,17
35,31
4,79
32,87
34,10
18,83
3,41
4,35
9,43
22,43
33,99
17,89
10,63
21,56
35,76
2,75
34,80
32,94
9,78
45,13
25,20
34,37
5,54
21,45
46,56
20,86
31,75
44,48
38,83
16,98
38,31
9,42
34,26
50,34
44,35
19,85
